title,genre,year,vote_count,vote_average,popularity
Toy Story,Animation,1995,5415,7,21.946943
Toy Story,Comedy,1995,5415,7,21.946943
Toy Story,Family,1995,5415,7,21.946943
Jumanji,Adventure,1995,2413,6,17.015539
Jumanji,Fantasy,1995,2413,6,17.015539
Jumanji,Family,1995,2413,6,17.015539
Grumpier Old Men,Romance,1995,92,6,11.7129
Grumpier Old Men,Comedy,1995,92,6,11.7129
Waiting to Exhale,Comedy,1995,34,6,3.859495
Waiting to Exhale,Drama,1995,34,6,3.859495
Waiting to Exhale,Romance,1995,34,6,3.859495
Father of the Bride Part II,Comedy,1995,173,5,8.387519
Heat,Action,1995,1886,7,17.924927
Heat,Crime,1995,1886,7,17.924927
Heat,Drama,1995,1886,7,17.924927
Heat,Thriller,1995,1886,7,17.924927
Sabrina,Comedy,1995,141,6,6.677277
Sabrina,Romance,1995,141,6,6.677277
Tom and Huck,Action,1995,45,5,2.561161
Tom and Huck,Adventure,1995,45,5,2.561161
Tom and Huck,Drama,1995,45,5,2.561161
Tom and Huck,Family,1995,45,5,2.561161
Sudden Death,Action,1995,174,5,5.23158
Sudden Death,Adventure,1995,174,5,5.23158
Sudden Death,Thriller,1995,174,5,5.23158
GoldenEye,Adventure,1995,1194,6,14.686036
GoldenEye,Action,1995,1194,6,14.686036
GoldenEye,Thriller,1995,1194,6,14.686036
The American President,Comedy,1995,199,6,6.318445
The American President,Drama,1995,199,6,6.318445
The American President,Romance,1995,199,6,6.318445
Dracula: Dead and Loving It,Comedy,1995,210,5,5.430331
Dracula: Dead and Loving It,Horror,1995,210,5,5.430331
Balto,Family,1995,423,7,12.140733
Balto,Animation,1995,423,7,12.140733
Balto,Adventure,1995,423,7,12.140733
Nixon,History,1995,72,7,5.092
Nixon,Drama,1995,72,7,5.092
Cutthroat Island,Action,1995,137,5,7.284477
Cutthroat Island,Adventure,1995,137,5,7.284477
Casino,Drama,1995,1343,7,10.137389
Casino,Crime,1995,1343,7,10.137389
Sense and Sensibility,Drama,1995,364,7,10.673167
Sense and Sensibility,Romance,1995,364,7,10.673167
Four Rooms,Crime,1995,539,6,9.026586
Four Rooms,Comedy,1995,539,6,9.026586
Ace Ventura: When Nature Calls,Crime,1995,1128,6,8.205448
Ace Ventura: When Nature Calls,Comedy,1995,1128,6,8.205448
Ace Ventura: When Nature Calls,Adventure,1995,1128,6,8.205448
Money Train,Action,1995,224,5,7.337906
Money Train,Comedy,1995,224,5,7.337906
Money Train,Crime,1995,224,5,7.337906
Get Shorty,Comedy,1995,305,6,12.669608
Get Shorty,Thriller,1995,305,6,12.669608
Get Shorty,Crime,1995,305,6,12.669608
Copycat,Drama,1995,199,6,10.701801
Copycat,Thriller,1995,199,6,10.701801
Assassins,Action,1995,394,6,11.065939
Assassins,Adventure,1995,394,6,11.065939
Assassins,Crime,1995,394,6,11.065939
Assassins,Thriller,1995,394,6,11.065939
Powder,Drama,1995,143,6,12.133094
Powder,Fantasy,1995,143,6,12.133094
Powder,Science Fiction,1995,143,6,12.133094
Powder,Thriller,1995,143,6,12.133094
Leaving Las Vegas,Drama,1995,365,7,10.332025
Leaving Las Vegas,Romance,1995,365,7,10.332025
Othello,Drama,1995,33,7,1.845899
Now and Then,Comedy,1995,91,6,8.681325
Now and Then,Drama,1995,91,6,8.681325
