title,year,vote_count,vote_average,popularity,genres,soup
Toy Story,1995,5415,7,21.946943,"['Animation', 'Comedy', 'Family']",jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter johnlasseter Animation Comedy Family
Jumanji,1995,2413,6,17.015539,"['Adventure', 'Fantasy', 'Family']",boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston joejohnston Adventure Fantasy Family
Grumpier Old Men,1995,92,6,11.7129,"['Romance', 'Comedy']",fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch howarddeutch howarddeutch Romance Comedy
Waiting to Exhale,1995,34,6,3.859495,"['Comedy', 'Drama', 'Romance']",basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker forestwhitaker Comedy Drama Romance
Father of the Bride Part II,1995,173,5,8.387519,['Comedy'],babi midlifecrisi confid age daughter motherdaughterrelationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer charlesshyer charlesshyer Comedy
Heat,1995,1886,7,17.924927,"['Action', 'Crime', 'Drama', 'Thriller']",robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann michaelmann Action Crime Drama Thriller
Sabrina,1995,141,6,6.677277,"['Comedy', 'Romance']",pari brotherbrotherrelationship chauffeur longisland millionair harrisonford juliaormond gregkinnear sydneypollack sydneypollack sydneypollack Comedy Romance
Tom and Huck,1995,45,5,2.561161,"['Action', 'Adventure', 'Drama', 'Family']",jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt peterhewitt peterhewitt Action Adventure Drama Family
Sudden Death,1995,174,5,5.23158,"['Action', 'Adventure', 'Thriller']",terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams peterhyams Action Adventure Thriller
GoldenEye,1995,1194,6,14.686036,"['Adventure', 'Action', 'Thriller']",cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell martincampbell Adventure Action Thriller
The American President,1995,199,6,6.318445,"['Comedy', 'Drama', 'Romance']",whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner robreiner Comedy Drama Romance
Dracula: Dead and Loving It,1995,210,5,5.430331,"['Comedy', 'Horror']",dracula spoof leslienielsen melbrooks amyyasbeck melbrooks melbrooks melbrooks Comedy Horror
Balto,1995,423,7,12.140733,"['Family', 'Animation', 'Adventure']",wolf alaska dog goos bearattack kevinbacon bobhoskins bridgetfonda simonwells simonwells simonwells Family Animation Adventure
Nixon,1995,72,7,5.092,"['History', 'Drama']",usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone oliverstone History Drama
Cutthroat Island,1995,137,5,7.284477,"['Action', 'Adventure']",exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin rennyharlin Action Adventure
Casino,1995,1343,7,10.137389,"['Drama', 'Crime']",poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese martinscorsese Drama Crime
Sense and Sensibility,1995,364,7,10.673167,"['Drama', 'Romance']",bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee anglee Drama Romance
Four Rooms,1995,539,6,9.026586,"['Crime', 'Comedy']",hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders allisonanders Crime Comedy
Ace Ventura: When Nature Calls,1995,1128,6,8.205448,"['Crime', 'Comedy', 'Adventure']",africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk steveoedekerk Crime Comedy Adventure
Money Train,1995,224,5,7.337906,"['Action', 'Comedy', 'Crime']",brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben josephruben Action Comedy Crime
Get Shorty,1995,305,6,12.669608,"['Comedy', 'Thriller', 'Crime']",gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld barrysonnenfeld Comedy Thriller Crime
Copycat,1995,199,6,10.701801,"['Drama', 'Thriller']",policebrut psycholog policeoper policeprotect serialkil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel jonamiel jonamiel Drama Thriller
Assassins,1995,394,6,11.065939,"['Action', 'Adventure', 'Crime', 'Thriller']",competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner richarddonner Action Adventure Crime Thriller
Powder,1995,143,6,12.133094,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",deadanim shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino faint psionicpow healingpow extrasensorypercept marysteenburgen seanpatrickflanery lancehenriksen victorsalva victorsalva victorsalva Drama Fantasy Science Fiction Thriller
Leaving Las Vegas,1995,365,7,10.332025,"['Drama', 'Romance']",individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis mikefiggis Drama Romance
Othello,1995,33,7,1.845899,['Drama'],shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker oliverparker oliverparker Drama
Now and Then,1995,91,6,8.681325,"['Comedy', 'Drama', 'Family']",1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter leslilinkaglatter Comedy Drama Family
Persuasion,1995,36,7,2.228434,"['Drama', 'Romance']",captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell rogermichell rogermichell Drama Romance
The City of Lost Children,1995,308,7,9.822423,"['Fantasy', 'Science Fiction', 'Adventure']",clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet Fantasy Science Fiction Adventure
Shanghai Triad,1995,17,6,1.100915,"['Drama', 'Crime']",servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou zhangyimou zhangyimou Drama Crime
Dangerous Minds,1995,249,6,9.481338,"['Drama', 'Crime']",rapmus karat highschool navaloffic teacher amusementpark michellepfeiffer georgedzundza courtneyb.vance johnn.smith johnn.smith johnn.smith Drama Crime
Twelve Monkeys,1995,2470,7,12.297305,"['Science Fiction', 'Thriller', 'Mystery']",schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam terrygilliam Science Fiction Thriller Mystery
Babe,1995,756,6,14.404764,"['Fantasy', 'Drama', 'Comedy', 'Family']",sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan chrisnoonan Fantasy Drama Comedy Family
Carrington,1995,16,6,1.493361,"['History', 'Drama', 'Romance']",england painter conscientiousobjector independentfilm soldier emmathompson jonathanpryce stevenwaddington christopherhampton christopherhampton christopherhampton History Drama Romance
Dead Man Walking,1995,350,7,6.891317,['Drama'],prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins timrobbins Drama
Across the Sea of Time,1995,2,3,0.114469,"['Adventure', 'History', 'Drama', 'Family']",peterreznick johnmcdonough avihoffman stephenlow stephenlow stephenlow Adventure History Drama Family
It Takes Two,1995,149,6,7.777735,"['Comedy', 'Family', 'Romance']",orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant andytennant andytennant Comedy Family Romance
Clueless,1995,828,6,9.882383,"['Comedy', 'Drama', 'Romance']",puberti highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling amyheckerling amyheckerling Comedy Drama Romance
"Cry, the Beloved Country",1995,13,6,0.894647,['Drama'],southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt darrelljamesroodt darrelljamesroodt Drama
Richard III,1995,50,6,4.561387,"['Drama', 'War']",england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine richardloncraine richardloncraine Drama War
Dead Presidents,1995,80,6,9.87957,"['Action', 'Crime', 'Drama', 'History']",money lossofvirgin armoredtruck larenztate keithdavid christucker alberthughes alberthughes alberthughes Action Crime Drama History
Restoration,1995,30,6,10.979269,"['Drama', 'Romance']",jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman michaelhoffman michaelhoffman Drama Romance
Mortal Kombat,1995,452,5,10.870138,"['Action', 'Fantasy']",martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Fantasy
To Die For,1995,177,6,10.448481,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant gusvansant Fantasy Drama Comedy Thriller
How To Make An American Quilt,1995,38,6,4.485958,"['Drama', 'Romance']",weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse jocelynmoorhouse Drama Romance
Se7en,1995,5915,8,18.45743,"['Crime', 'Mystery', 'Thriller']",self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher Crime Mystery Thriller
Pocahontas,1995,1509,6,13.280069,"['Adventure', 'Animation', 'Drama', 'Family']",cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel mikegabriel Adventure Animation Drama Family
When Night Is Falling,1995,10,5,3.302524,"['Drama', 'Romance']",professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema patriciarozema patriciarozema Drama Romance
The Usual Suspects,1995,3334,8,16.302466,"['Drama', 'Crime', 'Thriller']",law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger bryansinger Drama Crime Thriller
